order_book_id,datetime,last_quantity,side,last_price,transaction_cost
600903.XSHG,2020-08-18,400.0,SELL,12.06,0
600909.XSHG,2020-08-18,23000.0,SELL,9.13,0
600917.XSHG,2020-08-18,200.0,BUY,7.42,0
600959.XSHG,2020-08-18,26100.0,SELL,4.02,0
600967.XSHG,2020-08-18,13900.0,SELL,14.0,0
600970.XSHG,2020-08-18,9900.0,SELL,6.29,0
600996.XSHG,2020-08-18,300.0,BUY,7.79,0
601000.XSHG,2020-08-18,20300.0,SELL,2.5,0
601003.XSHG,2020-08-18,3300.0,SELL,5.07,0
601005.XSHG,2020-08-18,32400.0,SELL,1.58,0
601016.XSHG,2020-08-18,9100.0,SELL,3.09,0
601098.XSHG,2020-08-18,5100.0,SELL,11.13,0
601099.XSHG,2020-08-18,210700.0,BUY,4.39,0
601106.XSHG,2020-08-18,28700.0,SELL,3.48,0
601118.XSHG,2020-08-18,21200.0,SELL,5.9,0
601127.XSHG,2020-08-18,1200.0,BUY,9.14,0
601128.XSHG,2020-08-18,34700.0,SELL,8.76,0
601139.XSHG,2020-08-18,2700.0,SELL,8.25,0
601168.XSHG,2020-08-18,17100.0,SELL,7.82,0
601179.XSHG,2020-08-18,16800.0,SELL,5.28,0
601228.XSHG,2020-08-18,9900.0,SELL,3.51,0
601233.XSHG,2020-08-18,13600.0,SELL,16.41,0
601333.XSHG,2020-08-18,16700.0,SELL,2.54,0
601598.XSHG,2020-08-18,12600.0,SELL,3.52,0
601608.XSHG,2020-08-18,14900.0,SELL,4.13,0
601611.XSHG,2020-08-18,10600.0,SELL,9.61,0
601615.XSHG,2020-08-18,4300.0,SELL,15.74,0
601678.XSHG,2020-08-18,7200.0,SELL,5.28,0
601689.XSHG,2020-08-18,11300.0,BUY,41.8,0
601699.XSHG,2020-08-18,11300.0,SELL,6.56,0
601717.XSHG,2020-08-18,12900.0,SELL,7.67,0
601718.XSHG,2020-08-18,16200.0,SELL,3.86,0
601799.XSHG,2020-08-18,4100.0,BUY,165.06,0
601801.XSHG,2020-08-18,100.0,SELL,6.02,0
601860.XSHG,2020-08-18,6800.0,SELL,4.58,0
601865.XSHG,2020-08-18,3900.0,SELL,24.43,0
601866.XSHG,2020-08-18,40000.0,SELL,2.2,0
601869.XSHG,2020-08-18,4500.0,BUY,31.3,0
601880.XSHG,2020-08-18,107300.0,BUY,2.06,0
601928.XSHG,2020-08-18,3100.0,SELL,7.13,0
601958.XSHG,2020-08-18,5000.0,SELL,6.57,0
601966.XSHG,2020-08-18,1200.0,SELL,25.41,0
601969.XSHG,2020-08-18,13600.0,BUY,7.1,0
601975.XSHG,2020-08-18,35100.0,SELL,2.83,0
603000.XSHG,2020-08-18,5400.0,SELL,20.97,0
603025.XSHG,2020-08-18,400.0,SELL,8.09,0
603077.XSHG,2020-08-18,45700.0,SELL,1.49,0
603198.XSHG,2020-08-18,8600.0,BUY,21.81,0
603228.XSHG,2020-08-18,8300.0,BUY,35.38,0
603233.XSHG,2020-08-18,6200.0,BUY,74.91,0
603328.XSHG,2020-08-18,2200.0,SELL,10.31,0
603338.XSHG,2020-08-18,5400.0,BUY,104.86,0
603355.XSHG,2020-08-18,3600.0,BUY,27.37,0
603377.XSHG,2020-08-18,1700.0,BUY,22.79,0
603379.XSHG,2020-08-18,4000.0,BUY,23.2,0
603444.XSHG,2020-08-18,1500.0,BUY,571.39,0
603515.XSHG,2020-08-18,1900.0,SELL,30.65,0
603517.XSHG,2020-08-18,100.0,BUY,86.64,0
603568.XSHG,2020-08-18,2900.0,BUY,25.53,0
603605.XSHG,2020-08-18,2100.0,BUY,177.91,0
603659.XSHG,2020-08-18,5500.0,SELL,100.3,0
603707.XSHG,2020-08-18,400.0,SELL,52.27,0
603708.XSHG,2020-08-18,1300.0,BUY,44.02,0
603712.XSHG,2020-08-18,6000.0,BUY,57.47,0
603766.XSHG,2020-08-18,8400.0,SELL,4.68,0
603806.XSHG,2020-08-18,4000.0,BUY,68.0,0
603816.XSHG,2020-08-18,5200.0,BUY,67.81,0
603858.XSHG,2020-08-18,4000.0,SELL,26.68,0
603866.XSHG,2020-08-18,6200.0,BUY,64.8,0
603868.XSHG,2020-08-18,2100.0,BUY,58.8,0
603882.XSHG,2020-08-18,1000.0,SELL,89.42,0
